"filename", "language", "JSON", "XML", "C#", "HLSL", "ShaderLab", "CMake", "log", "CMake Cache", "C", "C++", "comment", "blank", "total"
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\FramePacing\cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 8, 45
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\GameActivity\cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 8, 45
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\android_gradle_build.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\android_gradle_build_mini.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 11, 62
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\compile_commands.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\arm64-v8a\prefab_config.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\prefab\arm64-v8a\prefab\lib\aarch64-linux-android\cmake\game-activity\game-activityConfig.cmake", "CMake", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\prefab\arm64-v8a\prefab\lib\aarch64-linux-android\cmake\games-frame-pacing\games-frame-pacingConfig.cmake", "CMake", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\dimas\VR-Adha\.utmp\Debug\l312d4l3\prefab\arm64-v8a\prefab\lib\aarch64-linux-android\cmake\games-frame-pacing\games-frame-pacingConfigVersion.cmake", "CMake", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\.cmake\api\v1\reply\cache-v2-00491419d10f7153b3a7.json", "JSON", 1443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1444
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\.cmake\api\v1\reply\cmakeFiles-v1-34adff0b1970d290ee2f.json", "JSON", 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 207
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\.cmake\api\v1\reply\codemodel-v2-1891ba3fd7aafaec3037.json", "JSON", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 124
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\.cmake\api\v1\reply\directory-.-RelWithDebInfo-d0094a50bb2071803777.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\.cmake\api\v1\reply\directory-FramePacing-RelWithDebInfo-7f9c8865fd027a154c90.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\.cmake\api\v1\reply\directory-GameActivity-RelWithDebInfo-3edf2ef9e25ca0503118.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\.cmake\api\v1\reply\index-2025-09-16T07-44-59-0480.json", "JSON", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\.cmake\api\v1\reply\target-game-RelWithDebInfo-9e3b7bb35ead43d1b270.json", "JSON", 326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 327
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\.cmake\api\v1\reply\target-swappywrapper-RelWithDebInfo-3f5c1528155264f1d29a.json", "JSON", 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 175
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 340, 0, 0, 0, 91, 431
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 18, 73
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCXXCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 20, 84
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeSystem.cmake", "CMake", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 598, 64, 130, 792
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 610, 0, 62, 132, 804
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\CMakeFiles\CMakeOutput.log", "log", 0, 0, 0, 0, 0, 0, 236, 0, 0, 0, 0, 72, 308
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\FramePacing\cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 8, 45
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\GameActivity\cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 8, 45
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\android_gradle_build.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\android_gradle_build_mini.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 11, 62
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\compile_commands.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\arm64-v8a\prefab_config.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\prefab\arm64-v8a\prefab\lib\aarch64-linux-android\cmake\game-activity\game-activityConfig.cmake", "CMake", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\prefab\arm64-v8a\prefab\lib\aarch64-linux-android\cmake\games-frame-pacing\games-frame-pacingConfig.cmake", "CMake", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\dimas\VR-Adha\.utmp\RelWithDebInfo\1b2q1j4j\prefab\arm64-v8a\prefab\lib\aarch64-linux-android\cmake\games-frame-pacing\games-frame-pacingConfigVersion.cmake", "CMake", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\dimas\VR-Adha\.utmp\tools\debug\arm64-v8a\compile_commands.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\Users\dimas\VR-Adha\.utmp\tools\release\arm64-v8a\compile_commands.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\Users\dimas\VR-Adha\Assembly-CSharp-Editor.csproj", "XML", 0, 1382, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1384
"c:\Users\dimas\VR-Adha\Assembly-CSharp.csproj", "XML", 0, 1421, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1423
